# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
gu rou an 	骨肉按	c=1 d=2.58835e-12 t=228098
gu shi 	故事	c=14 d=0.207382 t=228098
gu shu 	古樹	c=1 d=1.52057e-48 t=228098
gu si 	古寺	c=0 d=2.98756e-24 t=228098
gu si 	古斯	c=1 d=1.6191e-23 t=228098
gu tou 	骨頭	c=2 d=8.54755e-18 t=228098
gu xiang 	故鄉	c=1 d=2.83751e-05 t=228098
gu yi 	故意	c=2 d=0.201897 t=228098
gu zhang 	鼓掌	c=1 d=8.56853e-07 t=228098
gua 	掛	c=12 d=0.0149191 t=228098
gua 	瓜	c=3 d=0.0223708 t=228098
gua diao 	掛掉	c=0 d=1.45717e-48 t=228098
gua diao niao 	掛掉鳥	c=1 d=1.46448e-47 t=228098
gua fei 	刮飛	c=1 d=0.0308074 t=228098
gua fu 	寡婦	c=0 d=0.00319048 t=228098
gua fu nan guo le 	寡婦難過了	c=1 d=0.0320647 t=228098
gua gou 	掛鉤	c=1 d=7.2761e-54 t=228098
gua hao 	掛號	c=1 d=5.13541e-43 t=228098
gua ji 	掛機	c=3 d=1.57908 t=227141
gua kao 	掛靠	c=4 d=0.0987662 t=228098
gua le nian 	掛了年	c=1 d=1.431e-69 t=228098
gua li 	掛曆	c=2 d=3.66232e-07 t=228098
gua lian 	刮臉	c=2 d=4.83568e-12 t=228098
gua nang 	括囊	c=1 d=2.49975e-14 t=228098
gua ni 	掛你	c=1 d=1.578e-43 t=228098
gua nian 	掛念	c=1 d=1.64744e-79 t=228098
gua qi 	掛起	c=1 d=3.3101e-82 t=228098
gua wa zi 	掛襪子	c=3 d=0.148823 t=228098
gua wa zi 	瓜娃子	c=19 d=0.0135009 t=228098
gua xi xi 	瓜西西	c=1 d=2.92632e-44 t=228098
gua zhe 	掛着	c=1 d=0.344728 t=228098
guai 	怪	c=21 d=1.33174e-06 t=228098
guai 	拐	c=1 d=1.06144e-25 t=228098
guai bu de 	怪不得	c=18 d=0.67368 t=228098
guai cuo 	拐錯	c=1 d=4.38384e-05 t=228098
guai guai 	乖乖	c=2 d=2.4872e-43 t=228098
guai guai 	怪怪	c=2 d=4.50799e-10 t=228098
guai jiao 	拐角	c=1 d=7.22258e-26 t=228098
guai qiao 	乖巧	c=0 d=0.1 t=226404
guai qiao ke ai 	乖巧可愛	c=1 d=1 t=226405
guai wan 	拐彎	c=1 d=1.0043e-21 t=228098
guai wu 	怪物	c=2 d=4.88012e-53 t=228098
guai zhao 	怪着	c=1 d=7.10272e-35 t=228098
guan 	冠	c=3 d=4.70731e-19 t=228098
guan 	官	c=1 d=5.76048e-12 t=228098
guan 	管	c=27 d=0.810592 t=228098
guan 	罐	c=1 d=3.35634e-10 t=228098
guan 	觀	c=2 d=1.01074e-08 t=228098
guan 	關	c=15 d=0.00199204 t=228098
guan 	館	c=1 d=1.02849e-07 t=228098
guan ai 	關愛	c=0 d=2.47488e-15 t=228098
guan ai wo na ge 	關愛我那個	c=1 d=2.48728e-14 t=228098
guan bi 	關閉	c=78 d=0.303355 t=228098
guan biao 	管表	c=1 d=7.49617e-81 t=228098
guan bing 	灌餅	c=1 d=0.063609 t=228098
guan bu guan 	管不管	c=1 d=7.82679e-30 t=228098
guan bu zhu 	管不住	c=1 d=2.11801e-35 t=228098
guan ce 	觀測	c=6 d=1.08927e-06 t=228098
guan cha 	觀察	c=26 d=0.244143 t=228098
guan cha dao 	觀察到	c=1 d=1.15404e-09 t=228098
guan dian 	觀點	c=2 d=5.1124e-49 t=228098
guan diao 	關掉	c=22 d=0.00831246 t=228098
guan fa 	管法	c=0 d=4.58157e-25 t=228098
guan fa ge 	管法個	c=1 d=4.60454e-24 t=228098
guan fang 	官方	c=41 d=0.784231 t=228098
guan gan 	觀感	c=2 d=5.01832e-07 t=228098
guan ji 	關機	c=5 d=5.36639e-16 t=228098
guan jia 	管家	c=3 d=1.5037e-05 t=228098
guan jian 	關鍵	c=19 d=0.00386733 t=228098
guan jian zi 	關鍵字	c=4 d=1.71245e-05 t=228098
guan ka 	關卡	c=2 d=8.43069e-60 t=228098
guan kan 	觀看	c=3 d=6.68113e-21 t=228098
guan kan liang 	觀看量	c=1 d=3.43863e-89 t=228098
guan kong 	管控	c=4 d=1.02832e-05 t=228098
guan kong biao 	管控表	c=1 d=4.78333e-31 t=228098
guan li 	管理	c=149 d=1.94614 t=228098
guan li shi 	管理師	c=1 d=2.44726e-29 t=228098
guan li yuan 	管理員	c=3 d=1.17224e-46 t=228098
guan lian 	關聯	c=81 d=0.212271 t=228098
guan lian shang 	關聯上	c=1 d=4.13602e-85 t=228098
guan lian xing 	關聯性	c=1 d=2.27987e-19 t=228098
guan lian yue du 	關聯閱讀	c=1 d=5.11257e-20 t=228098
guan men 	關門	c=1 d=1 t=227821
guan shang 	關上	c=5 d=0.060205 t=228098
guan ta 	管他	c=2 d=1.64045e-29 t=228098
guan wang 	官網	c=11 d=4.12925e-07 t=228098
guan wang 	觀望	c=2 d=3.19092e-33 t=228098
guan xi 	關係	c=95 d=0.844285 t=228098
guan xia 	管轄	c=2 d=1.04617e-31 t=228098
guan xian 	官銜	c=1 d=6.16201e-40 t=228098
guan xin 	關心	c=20 d=0.00107547 t=228098
guan yi ci 	管一次	c=1 d=3.81892e-29 t=228098
guan ying 	觀影	c=1 d=5.46353e-07 t=228098
guan yong 	管用	c=5 d=0.0668703 t=228098
guan yu 	關於	c=73 d=1.55991 t=228098
guan yuan 	官員	c=1 d=4.58347e-117 t=228098
guan zhong 	觀衆	c=1 d=5.38128e-05 t=228098
guan zhu 	關注	c=36 d=0.319787 t=228098
guan zhu dian 	關注點	c=1 d=1 t=210981
guang 	光	c=9 d=0.163654 t=228098
guang 	廣	c=1 d=1 t=220374
guang 	逛	c=2 d=0.311209 t=228098
guang biao 	光標	c=4 d=0.0655462 t=228098
guang cha 	光差	c=1 d=1 t=224712
guang chang 	廣場	c=1 d=6.11711e-32 t=228098
guang fan 	廣泛	c=2 d=1.20987e-06 t=228098
guang fu jin 	逛附近	c=4 d=0.090718 t=228098
guang gao 	廣告	c=15 d=0.118897 t=228098
guang huan 	光環	c=1 d=4.62526e-18 t=228098
guang hui 	光輝	c=1 d=1.13802e-21 t=228098
guang kan 	光看	c=4 d=1.33962e-28 t=228098
guang tou 	光頭	c=5 d=0.000320727 t=228098
guang xiao 	光效	c=3 d=1.61009e-18 t=228098
guang zhu 	光鑄	c=1 d=6.83723e-28 t=228098
gui 	歸	c=3 d=3.4843e-09 t=228098
gui 	貴	c=16 d=1.37096e-06 t=228098
gui 	鬼	c=10 d=0.232236 t=228098
gui 	龜	c=0 d=9.57758e-53 t=228098
gui bin 	貴賓	c=1 d=4.94866e-19 t=228098
gui bing 	歸併	c=1 d=3.94822e-09 t=228098
gui bu jue 	鬼不覺	c=1 d=0.000520875 t=228098
gui dao 	軌道	c=1 d=0.00154523 t=228098
gui ding 	規定	c=9 d=1.08983e-12 t=228098
gui fan 	規範	c=70 d=0.786628 t=228098
gui fan hua 	規範化	c=1 d=3.58114e-08 t=228098
gui hua 	規劃	c=43 d=0.0101529 t=228098
gui ji 	軌跡	c=11 d=0.0018734 t=228098
gui lai 	歸來	c=1 d=1 t=227535
gui lei 	歸類	c=1 d=0.0165727 t=228098
gui ling 	歸零	c=1 d=7.05505e-44 t=228098
gui ling 	鬼靈	c=1 d=4.20537e-16 t=228098
gui lv 	規律	c=9 d=0.0156586 t=228098
gui nv 	閨女	c=150 d=0.775555 t=228098
gui nv geng xin 	閨女更新	c=1 d=0.557106 t=228098
gui nv le 	閨女了	c=1 d=2.07219e-13 t=228098
gui nv qu 	閨女去	c=1 d=3.17943e-20 t=228098
gui shu 	歸屬	c=1 d=2.18296e-09 t=228098
gui shu fang 	歸屬方	c=1 d=2.1939e-08 t=228098
gui xia 	跪下	c=1 d=1 t=226124
gui xin 	桂新	c=1 d=1.86952e-08 t=228098
gui xin si jian 	歸心似箭	c=1 d=1 t=197474
gui yi 	歸一	c=5 d=4.70331e-09 t=228098
gui yi 	詭異	c=2 d=4.72688e-09 t=228098
gui yi hua 	歸一話	c=1 d=2.92274e-59 t=228098
gui ze 	規則	c=75 d=0.0175284 t=228098
gui zheng 	規整	c=1 d=1.26599e-10 t=228098
gui zhi 	歸置	c=2 d=7.63745e-36 t=228098
gui zhong 	閨中	c=0 d=0.00485578 t=228098
gui zhong qi zi 	閨中妻子	c=1 d=0.0488012 t=228098
gui zi 	櫃子	c=1 d=1.4964e-36 t=228098
gun 	滾	c=3 d=0.380983 t=228098
gun dong 	滾動	c=3 d=1.56938e-08 t=228098
gun du zi 	滾犢子	c=2 d=9.69557e-49 t=228098
guo 	國	c=1 d=4.60861e-05 t=228098
guo 	果	c=1 d=1 t=204804
guo 	過	c=293 d=2.37401 t=228098
guo 	郭	c=2 d=1.35217e-42 t=228098
guo 	鍋	c=13 d=6.41042e-05 t=228098
guo ba 	鍋巴	c=2 d=1.99005 t=209519
guo chan 	國產	c=1 d=0.000305061 t=228098
guo chang 	過場	c=7 d=0.461003 t=228098
guo cheng 	過程	c=33 d=1.72114e-05 t=228098
guo cheng zhong 	過程中	c=1 d=3.83415e-17 t=228098
guo cuo 	過錯	c=1 d=0.000350903 t=228098
guo da 	過大	c=10 d=5.251e-17 t=228098
guo da 	郭達	c=1 d=2.33393e-30 t=228098
guo dao 	國道	c=1 d=1.02954e-19 t=228098
guo dao 	過道	c=1 d=2.64452e-88 t=228098
guo di 	過低	c=2 d=1.84137e-06 t=228098
guo du 	國度	c=9 d=0.321422 t=228098
guo du 	過渡	c=9 d=0.490835 t=228098
guo duo 	過多	c=4 d=3.79793e-23 t=228098
guo fen 	過分	c=1 d=0.83527 t=228098
guo fu 	國服	c=1 d=2.42481e-97 t=228098
guo gao 	過高	c=2 d=6.6769e-42 t=228098
guo ge 	郭哥	c=2 d=6.47957e-42 t=228098
guo ge 	鍋哥	c=19 d=1.47968 t=228098
guo guan 	過關	c=1 d=3.52602e-08 t=228098
guo guo 	果果	c=10 d=0.033648 t=228098
guo huo 	過火	c=1 d=5.86268e-13 t=228098
guo ji 	國際	c=3 d=7.57458e-27 t=228098
guo jia 	國家	c=8 d=0.000286796 t=228098
guo jia dui 	國家隊	c=1 d=1 t=227051
guo jia shi 	國家是	c=1 d=2.92541e-11 t=228098
guo kuai 	過快	c=1 d=5.44351e-52 t=228098
guo la 	過啦	c=1 d=1.86273e-24 t=228098
guo lai 	過來	c=67 d=0.128375 t=228098
guo lv 	過濾	c=14 d=6.42921e-10 t=228098
guo mao 	國貿	c=2 d=3.99495e-22 t=228098
guo min 	過敏	c=2 d=0.0687931 t=228098
guo min yuan 	過敏原	c=1 d=0.451581 t=228098
guo ne 	過呢	c=1 d=2.47438e-41 t=228098
guo nei 	國內	c=21 d=0.0326934 t=228098
guo nian 	過年	c=8 d=0.970446 t=228098
guo qi 	過期	c=21 d=7.32113e-12 t=228098
guo qin lun 	過秦論	c=1 d=0.0432828 t=228098
guo qing 	國慶	c=0 d=9.39691e-123 t=228098
guo qing jie 	國慶節	c=1 d=4.82566e-17 t=228098
guo qu 	過去	c=80 d=0.0845849 t=228098
guo qu le 	過去了	c=1 d=1.18285e-05 t=228098
guo qu o 	過去哦	c=1 d=8.52261e-32 t=228098
guo ran 	果然	c=13 d=0.0333733 t=228098
guo sheng ri 	過生日	c=1 d=8.87222e-05 t=228098
guo shi 	果實	c=1 d=3.85115e-69 t=228098
guo shi 	過時	c=1 d=3.87045e-69 t=228098
guo wai 	國外	c=19 d=6.16535e-09 t=228098
guo wan 	過完	c=3 d=1.72279e-17 t=228098
guo wan nian 	過完年	c=6 d=0.105399 t=228098
guo wang 	國王	c=5 d=3.67305e-12 t=228098
guo wen 	過問	c=1 d=1 t=206145
guo yi bian 	過一遍	c=2 d=5.95837e-27 t=228098
guo yi xia 	國一下	c=1 d=3.58053e-06 t=228098
guo yi xia 	過一下	c=2 d=1.00001 t=202655
guo zai 	過載	c=1 d=7.02129e-17 t=228098
guo zhen zi 	過陣子	c=1 d=4.35294e-10 t=228098
guo zi 	果子	c=0 d=1.78156e-89 t=228098
ha 	哈	c=278 d=0.662288 t=228098
ha a a a a a 	哈啊啊啊啊啊	c=1 d=3.73542e-63 t=228098
ha fa 	哈法	c=1 d=3.47885e-20 t=228098
ha fo 	哈佛	c=2 d=1.42088e-58 t=228098
ha ha 	哈哈	c=968 d=4.05613 t=228098
ha ha ha 	哈哈哈	c=80 d=1.17191 t=228098
ha ha ha ha 	哈哈哈哈	c=21 d=0.328095 t=228098
ha ha ha ha ha 	哈哈哈哈哈	c=15 d=0.353468 t=228098
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=8 d=6.44256e-05 t=228098
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=8 d=0.138761 t=228098
ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈	c=6 d=0.375311 t=228098
ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈	c=6 d=1.16243e-06 t=228098
ha ha ha ha ha ha ha ha ha ba 	哈哈哈哈哈哈哈哈哈吧	c=1 d=1 t=197576
ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈	c=5 d=0.0199405 t=228098
ha ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈哈	c=2 d=0.00133343 t=228098
ha ha ha ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈哈哈哈	c=2 d=0.008396 t=228098
ha ji ge 	哈幾個	c=1 d=7.17777e-41 t=228098
ha jiu 	哈就	c=1 d=0.337902 t=228098
ha ke 	哈克	c=0 d=3.14331e-63 t=228098
ha ke bei li 	哈克貝利	c=1 d=3.15906e-62 t=228098
ha lan 	哈蘭	c=1 d=2.36751e-51 t=228098
ha sang 	哈桑	c=1 d=1.79554e-33 t=228098
ha shi 	哈市	c=4 d=6.31499e-05 t=228098
ha shi nan hu 	哈市南湖	c=1 d=2.15786e-19 t=228098
ha si 	哈斯	c=2 d=0.000112788 t=228098
ha song 	哈慫	c=18 d=0.0544845 t=228098
ha xi 	哈系	c=1 d=2.72839e-73 t=228098
ha xiang 	哈想	c=1 d=1 t=224103
ha you 	哈有	c=1 d=7.61903e-37 t=228098
ha zi a 	哈子啊	c=2 d=0.00280879 t=228098
hai 	海	c=4 d=1.76184e-16 t=228098
hai 	還	c=559 d=1.83178 t=228098
hai an 	海岸	c=1 d=1.23238e-17 t=228098
hai bao 	海報	c=1 d=1.22307e-16 t=228098
hai bao cuo 	還報錯	c=1 d=2.47506e-103 t=228098
hai bao lu 	還暴露	c=1 d=1.14303e-102 t=228098
hai bu 	還不	c=0 d=0.1 t=226689
hai bu cuo 	還不錯	c=11 d=0.00900478 t=228098
hai bu dao 	還不到	c=4 d=1.49633e-71 t=228098
hai bu hao 	還不好	c=1 d=3.53203e-22 t=228098
hai bu lai 	還不來	c=1 d=1.91053e-28 t=228098
hai bu qing 	還不清	c=1 d=0.355226 t=228098
hai bu ru 	還不如	c=2 d=1.18285e-05 t=228098
hai bu shi 	還不是	c=5 d=4.51735e-05 t=228098
hai bu tong 	還不同	c=1 d=4.86871e-92 t=228098
hai bu xing 	還不行	c=13 d=0.189191 t=228098
hai bu xing 	還不醒	c=1 d=1 t=226690
hai bu yi ding 	還不一定	c=2 d=8.88554e-52 t=228098
hai bu yi yang 	還不一樣	c=1 d=1 t=197557
hai bu zhi dao 	還不知道	c=9 d=0.0739031 t=228098
hai chu xian 	還出現	c=1 d=1 t=210899
hai chu zai 	還處在	c=1 d=7.31032e-21 t=228098
hai da 	還打	c=1 d=3.3011e-50 t=228098
hai dai 	還帶	c=3 d=1.23809e-42 t=228098
hai dao 	海島	c=2 d=7.77584e-12 t=228098
hai dao 	海盜	c=1 d=7.89335e-12 t=228098
hai de 	海德	c=4 d=1.36812e-11 t=228098
hai dei 	還得	c=63 d=0.837914 t=228098
hai deng 	海燈	c=1 d=1 t=227854
hai di 	海底	c=2 d=2.60044e-08 t=228098
hai dian 	海淀	c=9 d=2.76839e-09 t=228098
hai dian qu 	海淀區	c=6 d=3.88944e-09 t=228098
hai diao 	海釣	c=1 d=1.6371e-05 t=228098
hai diao 	還掉	c=1 d=1.6453e-05 t=228098
hai dui 	還對	c=1 d=4.37625e-14 t=228098
hai er 	海爾	c=1 d=6.49251e-37 t=228098
hai fen 	海氛	c=1 d=1 t=210246
hai gan 	還敢	c=1 d=3.32294e-10 t=228098
hai hao 	還好	c=23 d=0.901567 t=228098
hai hao hao 	還好好	c=1 d=3.7839e-97 t=228098
hai hao si 	還好死	c=4 d=1.66184e-05 t=228098
hai he 	海河	c=2 d=2.01657e-37 t=228098
hai he ren cai 	海河人才	c=1 d=1.0732e-37 t=228098
hai hui 	還會	c=17 d=0.0349094 t=228098
hai ji de 	還記得	c=2 d=0.0800583 t=228098
hai jia er shan 	海加爾山	c=2 d=1.7632e-18 t=228098
hai ke yi 	還可以	c=5 d=0.000120363 t=228098
hai liang 	海量	c=2 d=7.45292e-13 t=228098
hai ma 	海馬	c=1 d=1 t=227220
hai mei 	還沒	c=25 d=0.000305061 t=228098
hai mei you 	還沒有	c=5 d=0.0250972 t=228098
hai neng 	還能	c=16 d=2.30558e-11 t=228098
hai neng kan dao 	還能看到	c=1 d=4.75381e-17 t=228098
hai ou 	海鷗	c=1 d=8.92429e-15 t=228098
hai pa 	害怕	c=2 d=1.87468e-11 t=228098
hai qu 	還去	c=2 d=2.32917e-06 t=228098
hai rang 	還讓	c=1 d=3.29324e-22 t=228098
hai shan 	海山	c=6 d=2.46086e-06 t=228098
hai shang 	還上	c=1 d=2.11032e-51 t=228098
hai shang qu 	還上去	c=1 d=1.80019e-34 t=228098
hai shi 	還是	c=402 d=1.67079 t=228098
hai shi chan pin 	還是產品	c=1 d=5.74934e-48 t=228098
hai shi shuo 	還是說	c=1 d=5.23346e-89 t=228098
hai shi wai mian 	還是外面	c=1 d=9.32651e-63 t=228098
hai shi zheng chang 	還是正常	c=1 d=1 t=207333
hai shuo 	還說	c=1 d=0.00054485 t=228098
hai si 	害死	c=0 d=3.02962e-12 t=228098
hai si hou 	害死後	c=1 d=3.0448e-11 t=228098
hai tan 	海灘	c=0 d=3.12454e-22 t=228098
hai ting 	還挺	c=0 d=0.0062662 t=228098
hai ting chang 	還挺長	c=1 d=1 t=227545
hai ting hao kan 	還挺好看	c=1 d=0.0109436 t=228098
hai ting kuai 	還挺快	c=1 d=6.30083e-08 t=228098
hai wei 	海味	c=1 d=1 t=203058
hai wei 	還未	c=1 d=1 t=203059
hai xia 	海霞	c=25 d=8.92125e-11 t=228098
hai xian shuo 	還先說	c=1 d=8.55805e-22 t=228098
hai xiang 	還想	c=11 d=0.222017 t=228098
hai xiang zhe 	還想着	c=1 d=2.84582e-10 t=228098
hai xiao 	還小	c=1 d=1.37036e-89 t=228098
hai xing 	還行	c=15 d=0.118245 t=228098
hai xu 	還需	c=8 d=0.138761 t=228098
hai xu yao 	還需要	c=45 d=0.0441671 t=228098
hai xuan ang 	還軒昂	c=1 d=2.9043e-14 t=228098
hai yang 	海洋	c=1 d=5.8585e-34 t=228098
hai yang guan 	海洋館	c=1 d=1.44847e-06 t=228098
hai yao 	還要	c=69 d=0.319819 t=228098
hai yao bu yao 	還要不要	c=1 d=2.10752e-06 t=228098
hai yao zao qi 	還要早期	c=1 d=1.08683e-09 t=228098
hai yi wei 	還以爲	c=2 d=2.91736e-08 t=228098
hai yo 	還喲	c=5 d=1.05471e-09 t=228098
hai yong 	還用	c=3 d=2.17695e-05 t=228098
hai you 	還有	c=243 d=0.884386 t=228098
hai you dai 	還有待	c=1 d=2.0198e-94 t=228098
hai you di a 	還有第啊	c=1 d=2.06684e-12 t=228098
hai you dian 	還有電	c=1 d=1 t=203321
hai you dian 	還有點	c=8 d=0.224249 t=228098
hai you duo jiu 	還有多久	c=1 d=0.0028799 t=228098
hai you er nv 	還有兒女	c=1 d=2.45978e-89 t=228098
hai you ge 	還有個	c=5 d=6.37954e-07 t=228098
hai you mei you 	還有沒有	c=3 d=4.56741e-17 t=228098
hai you ni 	還有你	c=1 d=5.50946e-76 t=228098
hai you ren 	還有人	c=1 d=1 t=212586
hai you xie 	還有些	c=1 d=5.63262e-42 t=228098
hai you yi ding 	還有一定	c=1 d=3.26613e-13 t=228098
hai you yi ge 	還有一個	c=4 d=0.000934966 t=228098
hai you yi xie 	還有一些	c=1 d=4.29648e-121 t=228098
hai you yong 	還有用	c=2 d=9.2498e-92 t=228098
hai you zai kan 	還有在看	c=1 d=1.74361e-70 t=228098
hai yu 	海域	c=2 d=2.09337e-15 t=228098
hai zai 	還在	c=118 d=0.730818 t=228098
hai zai jia 	還在家	c=2 d=3.27392e-41 t=228098
hai zai kai 	還在開	c=1 d=1 t=214483
hai zai xiang 	還在想	c=1 d=7.12596e-44 t=228098
hai zai xiang zhe kuai 	還在想這塊	c=1 d=4.45753e-54 t=228098
hai zai yong 	還在用	c=1 d=1 t=223963
hai zhe yang 	還這樣	c=1 d=4.3565e-49 t=228098
hai zhen 	還真	c=2 d=1.09128e-57 t=228098
hai zhen shi 	還真是	c=6 d=4.07124e-17 t=228098
hai zhen you 	還真有	c=1 d=0.136695 t=228098
hai zheng 	還正	c=1 d=1 t=215105
hai zhi chi 	還支持	c=1 d=7.54731e-14 t=228098
hai zi 	孩子	c=41 d=0.88692 t=228098
hai zi a 	孩子啊	c=5 d=0.00951391 t=228098
hai zi chi 	孩子吃	c=1 d=6.55377e-118 t=228098
hai zi dao 	孩子到	c=1 d=1.20351e-91 t=228098
hai zuo 	還做	c=1 d=7.17899e-43 t=228098
han 	函	c=0 d=1.24994e-08 t=228098
han 	喊	c=12 d=0.142987 t=228098
han 	悍	c=0 d=1.00724e-27 t=228098
han 	汗	c=1 d=2.00569e-41 t=228098
han 	漢	c=2 d=1.26031e-16 t=228098
han bao 	漢堡	c=7 d=2.93136e-20 t=228098
han bao wang 	漢堡王	c=1 d=6.22414e-11 t=228098
han dian 	函電	c=1 d=1.67239e-50 t=228098
han dian 	喊點	c=1 d=1.68077e-50 t=228098
han dong 	寒冬	c=0 d=6.97891e-35 t=228098
han dong nv wang 	寒冬女王	c=1 d=7.01389e-34 t=228098
han gai 	涵蓋	c=1 d=1 t=218350
han guo 	喊過	c=1 d=0.00315873 t=228098
han guo 	韓國	c=1 d=4.06198e-49 t=228098
han guo qu 	喊過去	c=1 d=0.0317456 t=228098
han han 	憨憨	c=1 d=1.51514e-06 t=228098
han hua 	漢化	c=1 d=1.27541e-09 t=228098
han jian 	罕見	c=1 d=1.02365e-69 t=228098
han jing 	旱井	c=1 d=1 t=201186
han ju 	韓劇	c=1 d=7.55735e-59 t=228098
han ni 	喊你	c=1 d=6.81262e-15 t=228098
han shu 	函數	c=115 d=0.31686 t=228098
han shu li mian 	函數裏面	c=1 d=1 t=224549
han shu ming 	函數名	c=1 d=0.0987662 t=228098
han shui 	汗水	c=1 d=1.64576e-67 t=228098
han xia 	喊下	c=2 d=9.33982e-21 t=228098
han yi 	含義	c=17 d=0.0958472 t=228098
han yuan 	喊冤	c=1 d=1 t=209043
han zhe 	喊着	c=1 d=6.47994e-73 t=228098
han zheng 	寒症	c=1 d=1.65778e-35 t=228098
han zheng 	汗蒸	c=4 d=7.74434e-35 t=228098
han zi 	漢字	c=3 d=2.10422e-55 t=228098
hang 	航	c=2 d=3.08957e-65 t=228098
hang 	行	c=52 d=0.157237 t=228098
hang ban 	航班	c=2 d=0.00162053 t=228098
hang hang hao 	行行好	c=4 d=0.00103848 t=228098
hang hao 	行號	c=5 d=3.15734e-10 t=228098
hang he 	行和	c=1 d=3.94272e-22 t=228098
hang jian ju 	行間距	c=1 d=6.09882e-07 t=228098
hang lie 	行列	c=4 d=0.163263 t=228098
hang lie zhi 	行列值	c=1 d=0.15259 t=228098
hang shu 	行數	c=2 d=0.0100518 t=228098
hang xian 	航線	c=1 d=8.3029e-107 t=228098
hang ye 	行業	c=7 d=0.355226 t=228098
hang ye ying xiang li 	行業影響力	c=1 d=5.91215e-53 t=228098
hao 	好	c=837 d=2.7381 t=228098
hao 	浩	c=1 d=2.46287e-45 t=228098
hao 	皓	c=2 d=5.50402e-35 t=228098
hao 	號	c=236 d=0.918512 t=228098
hao 	豪	c=1 d=1.60966e-12 t=228098
hao a 	好啊	c=0 d=5.3998e-17 t=228098
hao a hou 	好啊後	c=1 d=5.42686e-16 t=228098
hao an jing 	好安靜	c=2 d=3.60767e-87 t=228098
hao ba 	好吧	c=16 d=0.318224 t=228098
hao ban 	好辦	c=3 d=5.81838e-12 t=228098
hao ban fa 	好辦法	c=4 d=0.000773179 t=228098
hao ban fan 	好拌飯	c=1 d=1.30339e-29 t=228098
hao bang yang 	好榜樣	c=1 d=3.70807e-06 t=228098
hao bu 	毫不	c=0 d=1.3845e-05 t=228098
hao bu rong 	好不容	c=1 d=2.00092e-13 t=228098
hao bu rong yi 	好不容易	c=2 d=7.95075e-09 t=228098
hao bu shi ruo 	好不示弱	c=1 d=0.00013845 t=228098
hao bu shi ruo 	毫不示弱	c=1 d=0.000139144 t=228098
hao can 	好慘	c=1 d=1.73615e-49 t=228098
hao chang 	好長	c=2 d=2.53918e-51 t=228098
hao chi 	好喫	c=2 d=1.36412e-06 t=228098
hao chi 	皓齒	c=2 d=3.96586e-32 t=228098
hao chou 	好醜	c=1 d=1.20506e-18 t=228098
hao chu 	好處	c=7 d=0.000262568 t=228098
hao chuan 	好穿	c=1 d=1.41979e-06 t=228098
hao da 	好大	c=6 d=0.0112769 t=228098
hao da 	好打	c=1 d=0.121238 t=228098
hao dai 	好歹	c=3 d=3.39642e-32 t=228098
hao dan 	好彈	c=0 d=6.06079e-52 t=228098
hao dan teng 	好彈疼	c=2 d=8.3712e-27 t=228098
hao de 	好的	c=8 d=0.00140882 t=228098
hao di 	好滴	c=25 d=1.00423 t=228098
hao di a 	好滴啊	c=1 d=6.8734e-90 t=228098
hao dian 	好點	c=66 d=0.177284 t=228098
hao dian 	耗電	c=21 d=4.69596e-20 t=228098
hao dian liang 	耗電量	c=1 d=5.38368e-69 t=228098
hao diao yan 	好調研	c=1 d=1 t=199283
hao ding 	好定	c=1 d=1.18016e-37 t=228098
hao dong xi 	好東西	c=6 d=5.01808e-06 t=228098
hao dou 	好逗	c=1 d=1 t=197661
hao du 	豪賭	c=2 d=2.75675e-40 t=228098
hao duan duan 	好端端	c=1 d=3.47589e-10 t=228098
hao dun 	好燉	c=2 d=3.81846e-06 t=228098
hao duo 	好多	c=54 d=0.197899 t=228098
hao duo hui yi 	好多會議	c=1 d=7.46054e-25 t=228098
hao duo ren 	好多人	c=4 d=6.82981e-74 t=228098
hao duo shi qing 	好多事情	c=1 d=2.28421e-12 t=228098
hao e 	好餓	c=1 d=1.10382e-15 t=228098
hao e xin 	好噁心	c=1 d=1.43036e-05 t=228098
hao fan 	好煩	c=1 d=5.40807e-35 t=228098
hao fei 	耗費	c=6 d=8.83248e-11 t=228098
hao fu za 	好複雜	c=2 d=4.99499e-11 t=228098
hao gai 	好改	c=3 d=2.91259 t=214276
hao gao 	好高	c=1 d=4.90077e-81 t=228098
hao ge mao xian 	好個冒險	c=1 d=1.07892e-70 t=228098
hao gui 	好貴	c=5 d=0.000125275 t=228098
hao ha 	好哈	c=1 d=2.31992e-18 t=228098
hao han 	好漢	c=1 d=1.51824e-30 t=228098
hao hao 	好好	c=24 d=0.122456 t=228098
hao hao 	皓皓	c=3 d=7.45165e-11 t=228098
